"Freq [GHz]","mag(Z(Port1,Port1)) [kOhm]"
0,nan
0.009,9.82423671875045
0.018,4.91190449946944
0.027,3.27436561607791
0.036,2.45552526084568
0.045,1.96416446591403
0.054,1.63654356054754
0.063,1.40248839169333
0.072,1.22691188211667
0.081,1.09032121551374
0.09,0.981020708934247
0.099,0.891567662670017
0.108,0.817000286450691
0.117,0.753883439480475
0.126,0.699763490739514
0.135,0.65284111909865
0.144,0.611766838634252
0.153,0.575508693997287
0.162,0.54326405739829
0.171,0.514399279192467
0.18,0.48840744330487
0.189,0.464878192547229
0.198,0.443475783400208
0.207,0.423922865647427
0.216,0.405988317101369
0.225,0.389477998006557
0.234,0.374227639038907
0.243,0.360097309761009
0.252,0.346967072403629
0.261,0.334733534872669
0.27,0.32330709315745
0.279,0.312609707462316
0.288,0.302573095324784
0.297,0.293137253249148
0.306,0.284249239240344
0.315,0.27586216403711
0.324,0.267934350485101
0.333,0.260428629218944
0.342,0.253311745560509
0.351,0.2465538576644
0.36,0.240128109936233
0.369,0.234010268888486
0.378,0.228178411007034
0.387,0.222612654182891
0.396,0.217294925756966
0.405,0.21220876150363
0.414,0.207339130824578
0.423,0.202672284265918
0.432,0.198195620095648
0.441,0.193897567213459
0.45,0.189767482121114
0.459,0.185795558004582
0.468,0.181972744317117
0.477,0.178290675456874
0.486,0.174741607379359
0.495,0.171318361116338
0.504,0.168014272352962
0.513,0.16482314631222
0.522,0.161739217301915
0.531,0.158757112383969
0.54,0.155871818668258
0.549,0.153078653832593
0.558,0.150373239487132
0.567,0.14775147708443
0.576,0.145209526080031
0.585,0.142743784114905
0.594,0.14035086899886
0.603,0.138027602303114
0.612,0.135770994408039
0.621,0.133578230843067
0.63,0.131446659805662
0.639,0.129373780727372
0.648,0.127357233798138
0.657,0.125394790350746
0.666,0.123484344020694
0.675,0.121623902620145
0.684,0.11981158064546
0.693,0.118045592376204
0.702,0.116324245496931
0.711,0.114645935210907
0.72,0.11300913878759
0.729,0.111412410518912
0.738,0.109854377043304
0.747,0.108333733003326
0.756,0.10684923701973
0.765,0.105399707941502
0.774,0.103984021364608
0.783,0.10260110638242
0.792,0.101249942564673
0.801,0.0999295571319538
0.81,0.0986390223229899
0.819,0.0973774529336223
0.828,0.0961440040114426
0.837,0.0949378687048621
0.846,0.0937582762406978
0.855,0.0926044900360636
0.864,0.0914758059192333
0.873,0.0903715504670114
0.882,0.0892910794350817
0.891,0.088233776287439
0.9,0.0871990508114151
0.909,0.08618633780959
0.918,0.0851950958737517
0.927,0.0842248062207823
0.936,0.0832749716017409
0.945,0.0823451152635143
0.954,0.0814347799751557
0.963,0.0805435270992672
0.972,0.0796709357184127
0.981,0.0788166018062131
0.99,0.0779801374377224
0.999,0.0771611700455071
1.008,0.0763593417162069
1.017,0.075574308495986
1.026,0.0748057397814857
1.035,0.0740533176856958
1.044,0.0733167364703923
1.053,0.07259570197531
1.062,0.0718899311176887
1.071,0.0711991513649283
1.08,0.070523100266063
1.089,0.0698615249742714
1.098,0.069214181833659
1.107,0.0685808359343052
1.116,0.0679612607212281
1.125,0.0673552375901855
1.134,0.0667625555428845
1.143,0.0661830108071436
1.152,0.0656164065071552
1.161,0.0650625523176692
1.17,0.0645212641736114
1.179,0.0639923639425888
1.188,0.0634756791444531
1.197,0.0629710426529108
1.206,0.0624782924492194
1.215,0.0619972713408529
1.224,0.0615278267044935
1.233,0.0610698102661796
1.242,0.060623077844696
1.251,0.0601874891379269
1.26,0.0597629074899052
1.269,0.059349199705046
1.278,0.0589462358244516
1.287,0.0585538889432428
1.296,0.0581720350086786
1.305,0.0578005526629574
1.314,0.0574393230491409
1.323,0.0570882296562982
1.332,0.056747158146003
1.341,0.056415996221077
1.35,0.0560946334590373
1.359,0.0557829611829705
1.368,0.0554808723146874
1.377,0.0551882612676529
1.386,0.0549050238066241
1.395,0.0546310569428318
1.404,0.0543662588126268
1.413,0.0541105285933107
1.422,0.0538637663879983
1.431,0.0536258731439611
1.44,0.0533967505557887
1.449,0.0531763010029474
1.458,0.0529644274589271
1.467,0.0527610334315596
1.476,0.0525660228895946
1.485,0.0523793002206465
1.494,0.0522007701634419
1.503,0.0520303377686356
1.512,0.0518679083473589
1.521,0.0517133874478459
1.53,0.0515666808091765
1.539,0.0514276943406782
1.548,0.0512963340905322
1.557,0.051172506238907
1.566,0.0510561170710971
1.575,0.0509470729731165
1.584,0.0508452804179565
1.593,0.0507506459725967
1.602,0.0506630762889487
1.611,0.0505824781071932
1.62,0.0505087582703527
1.629,0.0504418237249799
1.638,0.0503815815381101
1.647,0.050327938907456
1.656,0.0502808031853723
1.665,0.0502400818911401
1.674,0.0502056827357489
1.683,0.0501775136414576
1.692,0.0501554827710443
1.701,0.0501394985485896
1.71,0.0501294696889099
1.719,0.0501253052233948
1.728,0.0501269145314773
1.737,0.0501342073669835
1.746,0.0501470938892708
1.755,0.0501654846925127
1.764,0.0501892908366437
1.773,0.0502184238766771
1.782,0.0502527958929884
1.791,0.0502923195216208
1.8,0.0503369079824098
1.809,0.0503864751091222
1.818,0.0504409353768127
1.827,0.0505002039312164
1.836,0.0505641966122824
1.845,0.0506328299834963
1.854,0.0507060213547732
1.863,0.0507836888095286
1.872,0.0508657512223895
1.881,0.0509521282865797
1.89,0.0510427405313399
1.899,0.0511375093457739
1.908,0.0512363569900144
1.917,0.0513392066200311
1.926,0.0514459822990429
1.935,0.0515566090176889
1.944,0.0516710126983701
1.953,0.0517891202172471
1.962,0.0519108594095133
1.971,0.0520361590858089
1.98,0.0521649490298205
1.989,0.052297160017558
1.998,0.0524327238166687
2.007,0.0525715731992977
2.016,0.0527136419332905
2.025,0.0528588647977874
2.034,0.0530071775851458
2.043,0.0531585170891596
2.052,0.0533128211204605
2.061,0.0534700284964506
2.07,0.0536300790489742
2.079,0.0537929136056576
2.088,0.0539584740038125
2.097,0.0541267030758031
2.106,0.0542975446545019
2.115,0.0544709435498915
2.124,0.0546468455620495
2.133,0.0548251974625789
2.142,0.0550059469984221
2.151,0.0551890428643929
2.16,0.0553744347158172
2.169,0.0555620731466389
2.178,0.0557519096921414
2.187,0.0559438967980489
2.196,0.0561379878333544
2.205,0.0563341370656713
2.214,0.0565322996633625
2.223,0.0567324316617938
2.232,0.0569344899768232
2.241,0.0571384323779063
2.25,0.0573442174900695
2.259,0.057551804757831
2.268,0.0577611544597572
2.277,0.05797222767976
2.286,0.0581849863092811
2.295,0.0583993930093243
2.304,0.0586154112264129
2.313,0.058833005162447
2.322,0.0590521397773962
2.331,0.0592727807498157
2.34,0.0594948944944695
2.349,0.0597184481310486
2.358,0.0599434094876043
2.367,0.0601697470598525
2.376,0.0603974300306671
2.385,0.0606264282378959
2.394,0.0608567121787087
2.403,0.0610882529679346
2.412,0.0613210223574302
2.421,0.0615549927183035
2.43,0.0617901370028154
2.439,0.0620264287674761
2.448,0.0622638421396914
2.457,0.0625023518239749
2.466,0.062741933059036
2.475,0.0629825616430436
2.484,0.0632242138997666
2.493,0.0634668666859371
2.502,0.063710497347801
2.511,0.0639550837485855
2.52,0.0642006042342066
2.529,0.0644470376418054
2.538,0.0646943632558487
2.547,0.0649425608378126
2.556,0.0651916105915002
2.565,0.06544149317275
2.574,0.0656921896451505
2.583,0.0659436815119279
2.592,0.066195950680899
2.601,0.0664489794753318
2.61,0.066702750589317
2.619,0.0669572471218334
2.628,0.0672124525413449
2.637,0.0674683506977784
2.646,0.0677249257775813
2.655,0.0679821623399264
2.664,0.0682400452809489
2.673,0.0684985598467984
2.682,0.0687576915883983
2.691,0.0690174263997465
2.7,0.069277750481777
2.709,0.0695386503564379
2.718,0.06980011282116
2.727,0.0700621249892028
2.736,0.0703246742531219
2.745,0.0705877482998186
2.754,0.0708513350647203
2.763,0.0711154227741179
2.772,0.0713799999082159
2.781,0.0716450552170983
2.79,0.071910577674617
2.799,0.0721765565206315
2.808,0.0724429812409736
2.817,0.0727098415280335
2.826,0.0729771273264596
2.835,0.0732448287954072
2.844,0.0735129363259691
2.853,0.0737814404945454
2.862,0.0740503321103897
2.871,0.0743196021773645
2.88,0.0745892419121353
2.889,0.0748592426972318
2.898,0.0751295961303902
2.907,0.0754002939857853
2.916,0.0756713282329378
2.925,0.0759426909894582
2.934,0.0762143745721353
2.943,0.0764863714576206
2.952,0.0767586743019958
2.961,0.0770312758931935
2.97,0.0773041692037852
2.979,0.0775773473510911
2.988,0.0778508036173603
2.997,0.0781245314018629
3.006,0.0783985242753349
3.015,0.0786727759394912
3.024,0.0789472802477697
3.033,0.0792220311570871
3.042,0.0794970227838949
3.051,0.0797722493630745
3.06,0.0800477052692064
3.069,0.0803233849679898
3.078,0.0805992830738733
3.087,0.0808753943083069
3.096,0.0811517135214918
3.105,0.0814282356434579
3.114,0.0817049557432355
3.123,0.0819818689864453
3.132,0.0822589706574929
3.141,0.0825362561103027
3.15,0.0828137208289951
3.159,0.0830913603847983
3.168,0.0833691704586514
3.177,0.0836471467915908
3.186,0.0839252852469062
3.195,0.0842035817663553
3.204,0.0844820323931414
3.213,0.0847606332219548
3.222,0.0850393804613734
3.231,0.0853182704056781
3.24,0.0855972993946655
3.249,0.0858764638783273
3.258,0.086155760371805
3.267,0.0864351854789427
3.276,0.0867147358417329
3.285,0.0869944082064001
3.294,0.0872741993776201
3.303,0.0875541062423675
3.312,0.0878341257190189
3.321,0.0881142548248193
3.33,0.0883944906293547
3.339,0.0886748302786662
3.348,0.0889552709440167
3.357,0.0892358098907165
3.366,0.0895164444308408
3.375,0.0897971719475846
3.384,0.0900779898436965
3.393,0.0903588956116469
3.402,0.0906398867855765
3.411,0.0909209609658734
3.42,0.0912021157672764
3.429,0.0914833488903672
3.438,0.0917646580727444
3.447,0.092046041113797
3.456,0.0923274958224862
3.465,0.0926090200901431
3.474,0.092890611840861
3.483,0.0931722690564454
3.492,0.0934539897238788
3.501,0.0937357719094107
3.51,0.0940176137081586
3.519,0.094299513269218
3.528,0.0945814687428145
3.537,0.0948634783556729
3.546,0.0951455403598214
3.555,0.0954276530578414
3.564,0.0957098147497154
3.573,0.0959920238094614
3.582,0.0962742786331344
3.591,0.0965565776641998
3.6,0.0968389193400835
